P63;138240;1024;136
P63;139264;3;136
P64;140288;369;137
P65;141312;1024;140
P65;142336;1024;140
P65;143360;563;140
P66;144384;1024;142
P66;145408;378;142
P67;146432;1024;145
P67;147456;1024;145
P67;148480;183;145
M20;149504;1024;0
M20;150528;1024;0
M20;151552;1024;0
M20;152576;1024;0
M20;153600;1024;0
M20;154624;1024;0
M20;155648;552;0
P68;156672;1024;154
P68;157696;771;154
P69;158720;1024;156
P69;159744;652;156
P70;160768;1024;159
P70;161792;1024;159
P70;162816;49;159
P71;163840;288;160
P72;164864;270;161
P73;165888;931;162
P74;166912;46;163
P75;167936;905;164
P76;168960;1024;167
P76;169984;1024;167
P76;171008;114;167
P77;172032;15;168
P78;173056;716;169
P79;174080;1024;172
P79;175104;1024;172
P79;176128;773;172
P80;177152;1024;174
P80;178176;807;174
P81;179200;1024;177
P81;180224;1024;177
P81;181248;260;177
P82;182272;1024;180
P82;183296;1024;180
P82;184320;196;180
P83;185344;1024;182
P83;186368;1009;182
P84;187392;402;183
P85;188416;619;184
P86;189440;1024;186
P86;190464;696;186
P87;191488;403;187
P88;192512;1024;190
P88;193536;1024;190
P88;194560;472;190
P89;195584;857;191
P90;196608;1024;194
P90;197632;1024;194
P90;198656;122;194
P91;199680;770;195
P92;200704;1024;197
P92;201728;988;197
P93;202752;1024;199
P93;203776;65;199
P94;204800;1024;201
P94;205824;332;201
P95;206848;1024;204
P95;207872;1024;204
P95;208896;298;204
P96;209920;1024;206
P96;210944;935;206
P97;211968;1024;209
P97;212992;1024;209
P97;214016;489;209
P98;215040;177;210
P99;216064;1024;212
P99;217088;958;212
P100;218112;1;213
P101;219136;1024;215
P101;220160;197;215
P102;221184;1024;218
P102;222208;1024;218
P102;223232;86;218
P103;224256;1024;221
P103;225280;1024;221
P103;226304;346;221
P105;227328;159;222
P107;228352;184;223
M24;229376;1024;0
M24;230400;1024;0
M24;231424;1024;0
M24;232448;1024;0
M24;233472;435;0
P104;234496;1024;231
P104;235520;1024;231
P104;236544;447;231
P106;237568;1024;233
P106;238592;910;233
P108;239616;13;234
P109;240640;923;235
P110;241664;1024;237
P110;242688;857;237
P111;243712;752;238
P112;244736;1024;241
P112;245760;1024;241
P112;246784;543;241
P113;247808;1024;243
P113;248832;141;243
P114;249856;1024;246
P114;250880;1024;246
P114;251904;228;246
P115;252928;480;247
P116;253952;1024;250
P116;254976;1024;250
P116;256000;219;250
P117;257024;1024;252
P117;258048;442;252
P118;259072;1024;255
P118;260096;1024;255
P118;261120;422;255
P119;262144;736;256
P120;263168;883;257
P121;264192;1024;260
P121;265216;1024;260
P121;266240;306;260
P122;267264;813;261
P123;268288;1024;264
P123;269312;1024;264
P123;270336;121;264
P124;271360;1024;266
